file,status,confidence,elapsed,fields_found,fill_pct,medicine_name,dosage,composition,medicine_type,expiry_date,mfg_date,precautions,raw_json
21atpU0Hc9L._AC_UY218_.jpg,PASS,0.5714,5.416,4,57%,Glipy Met 500,50mg/500mg,Vildagliptin 50mg + Metformin Hydrochloride 500mg,tablet,,,,"{
  ""medicine_name"": ""Glipy Met 500"",
  ""dosage"": ""50mg/500mg"",
  ""composition"": ""Vildagliptin 50mg + Metformin Hydrochloride 500mg"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""tablet""
}"
41jH9Wz2A6L._AC_UY218_.jpg,PASS,0.2857,4.98,2,29%,Acibac,,,tablet,,,,"{
  ""medicine_name"": ""Acibac"",
  ""dosage"": null,
  ""composition"": null,
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""tablet""
}"
51-kyOzqrBL._AC_UY218_.jpg,PASS,0.4286,4.974,3,43%,Aristozyme Gold,,Multi-enzyme,tablet,,,,"{
  ""medicine_name"": ""Aristozyme Gold"",
  ""dosage"": null,
  ""composition"": ""Multi-enzyme"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""tablet""
}"
51drO9yNxOL._AC_UY218_.jpg,PASS,0.5714,4.238,4,57%,Sugest 300 SR,300 mg,Natural Micronized Progesterone 300 mg,tablet,,,,"{
  ""medicine_name"": ""Sugest 300 SR"",
  ""dosage"": ""300 mg"",
  ""composition"": ""Natural Micronized Progesterone 300 mg"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""tablet""
}"
51Vky80e5TL._AC_UY218_.jpg,PASS,0.7143,4.393,5,71%,Istamet,50mg/1000mg,Sitagliptin Phosphate 50mg + Metformin Hydrochloride 1000mg,tablet,,,For Oral Use Only.,"{
  ""medicine_name"": ""Istamet"",
  ""dosage"": ""50mg/1000mg"",
  ""composition"": ""Sitagliptin Phosphate 50mg + Metformin Hydrochloride 1000mg"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": ""For Oral Use Only."",
  ""medicine_type"": ""tablet""
}"
615ql59bqLL._AC_PT0_BL0_SX320_SY720_.jpg,PASS,0.4286,6.505,3,43%,KUDOS Gas ONA Churna,50g,,powder,,,,"{
  ""medicine_name"": ""KUDOS Gas ONA Churna"",
  ""dosage"": ""50g"",
  ""composition"": null,
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""powder""
}"
618M7GJZDuL._AC_UY218_.jpg,PASS,0.7143,6.855,5,71%,Glimda-1,1mg,Glimepiride IP 1mg,tablet,,,As directed by the physician. Store in a cool dry place. Schedule H drug. Warning: To be sold by retail on the prescription of a Registered Medical Practitioner only.,"{
  ""medicine_name"": ""Glimda-1"",
  ""dosage"": ""1mg"",
  ""composition"": ""Glimepiride IP 1mg"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": ""As directed by the physician. Store in a cool dry place. Schedule H drug. Warning: To be sold by retail on the prescription of a Registered Medical Practitioner only."",
  ""medicine_type"": ""tablet""
}"
61FLd7WVkdL._AC_UY218_.jpg,PASS,0.2857,8.969,2,29%,Digene,,,gel,,,,"{
  ""medicine_name"": ""Digene"",
  ""dosage"": null,
  ""composition"": null,
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""gel""
}"
61FYV+hiNzL._AC_UY218_.jpg,PASS,0.2857,8.907,2,29%,TATA 1mg Antacid & Antigas Liquid,,,solution,,,,"{
  ""medicine_name"": ""TATA 1mg Antacid & Antigas Liquid"",
  ""dosage"": null,
  ""composition"": null,
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": null,
  ""medicine_type"": ""solution""
}"
61KNeYtvwML._AC_UY218_.jpg,PASS,0.7143,7.974,5,71%,EverGraf,0.25 mg,Everolimus 0.25mg,tablet,,,Store at a temperature not more than 25°C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. Not to be sold by retail without the prescription of a Registered Medical Practitioner.,"{
  ""medicine_name"": ""EverGraf"",
  ""dosage"": ""0.25 mg"",
  ""composition"": ""Everolimus 0.25mg"",
  ""expiry_date"": null,
  ""mfg_date"": null,
  ""precautions"": ""Store at a temperature not more than 25°C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. Not to be sold by retail without the prescription of a Registered Medical Practitioner."",
  ""medicine_type"": ""tablet""
}"
