file,image_type,paddle_confidence,paddle_time_s,paddle_raw_text,ocrspace_triggered,ocrspace_confidence,ocrspace_time_s,ocrspace_raw_text,gemini_triggered,gemini_time_s,final_engine,final_confidence,fallback_used,final_raw_text,medicine_name,dosage,composition,medicine_type,expiry_date,mfg_date,precautions
21atpU0Hc9L._AC_UY218_.jpg,medicine,0.65,12.096,Vildagliptin 50 mg & Metformin Hydrochloride 500 mg Tablets GLIPY MET 500 ལིང་ཀ་ཐོང་ཏུ་ཁ Alembic 10 x 10 tablets,Yes,0.6,1.421,"Vildagliptin 50 mg & Metformin
Hydrochloride 500 mg Tablets
GLIPY
""MET 500
Alembicy
10 x 30 L9-",Yes,4.709,paddleocr+gemini,0.65,Yes,Vildagliptin 50 mg & Metformin Hydrochloride 500 mg Tablets GLIPY MET 500 ལིང་ཀ་ཐོང་ཏུ་ཁ Alembic 10 x 10 tablets,Glipy Met 500,50mg,Vildagliptin 50mg + Metformin Hydrochloride 500mg,tablet,,,
41jH9Wz2A6L._AC_UY218_.jpg,medicine,0.61,5.282,,Yes,0.6,1.263,"BACFOSO
ACIBAC
ACIBAC",Yes,6.051,paddleocr+gemini,0.61,Yes,,Acibac,,,tablet,,,
51-kyOzqrBL._AC_UY218_.jpg,medicine,0.64,8.0,## Multi-enzyme Tablets Aristozyme Gold,Yes,0.6,1.65,"Multi-enzyme Tablets
Aristozyme
Gold
10
TABLETS",Yes,4.775,paddleocr+gemini,0.64,Yes,## Multi-enzyme Tablets Aristozyme Gold,Aristozyme Gold,,,tablet,,,
51drO9yNxOL._AC_UY218_.jpg,medicine,0.62,4.92,Natural Micronized Progesterone Sustained Release Tablets 300 mg,Yes,0.6,1.28,"Natural Micronized Progesterone
Sustained Release Tablets 300 mg
SUGEST *300
1x10 Tablets",Yes,4.765,paddleocr+gemini,0.62,Yes,Natural Micronized Progesterone Sustained Release Tablets 300 mg,Sugest 300 SR,300mg,Natural Micronized Progesterone 300mg,tablet,,,
51Vky80e5TL._AC_UY218_.jpg,medicine,0.66,5.637,# Rx SITAGLIPTIN PHOSPHATE & METFORMIN HYDROCHLORIDE TABLETS istamet $ ^{TM} $ 50mg/1000mg (Film-costed Tablets) Far Oral Use Only. 15 tablets each,Yes,0.6,1.278,"Rx
SITAGLIPTIN PHOSPHATE
& METFORMIN HYDROCHLORIDE
TABLETS
istamet™ 50mg/1000mg
For Oral Use Only.
SUN
PHARMA",Yes,4.141,paddleocr+gemini,0.66,Yes,# Rx SITAGLIPTIN PHOSPHATE & METFORMIN HYDROCHLORIDE TABLETS istamet $ ^{TM} $ 50mg/1000mg (Film-costed Tablets) Far Oral Use Only. 15 tablets each,Istamet,50mg,Sitagliptin Phosphate 50mg + Metformin Hydrochloride 1000mg,tablet,,,For Oral Use Only.
615ql59bqLL._AC_PT0_BL0_SX320_SY720_.jpg,medicine,0.66,12.991,,Yes,0.6,2.494,"KUEOS""
tolcbod
KUOCE
GE OL""
soak komd
KUROS*
Gã OL
fonds Bosed
KUOOS""
NaSe
SUROE
GB Qui
KURCE
GosOes
KưOỚS
sond tod",Yes,7.112,paddleocr+gemini,0.66,Yes,,Kudos Amrut Gas-Ona Churna,,,powder,,,
618M7GJZDuL._AC_UY218_.jpg,medicine,0.61,11.029,,Yes,0.6,1.945,"Glimdal
Glimnda-1
Glimepiride Tables IP Ing
Glimda 1
Glimda-1
Glimada 1
Glinda 1
Gtimda-l
Glimda 1
Glimda -1
Glimda:1
Glimda:!",Yes,8.265,paddleocr+gemini,0.61,Yes,,Glimda-1,1mg,Glimepiride 1mg,tablet,,,Dosage: As directed by the physician. Store in a cool and dry place. Schedule H drug. Warning: To be sold by retail on the prescription of a Registered Medical Practitioner only.
61FLd7WVkdL._AC_UY218_.jpg,medicine,0.61,4.151,,Yes,0.6,1.129,"ANTADIO ANTIGAS GEL
DIGENE
450ml",Yes,3.695,paddleocr+gemini,0.61,Yes,,Digene,450ml,,gel,,,
61FYV+hiNzL._AC_UY218_.jpg,medicine,0.63,4.508,TATA விவரி Antacid & Antigas Liquid,Yes,0.6,1.116,"TATA TN
Antacid &
Antigas Liquid",Yes,6.133,paddleocr+gemini,0.63,Yes,TATA விவரி Antacid & Antigas Liquid,TATA 1mg Antacid & Antigas Liquid,,,solution,,,
61KNeYtvwML._AC_UY218_.jpg,medicine,0.74,8.427,"Each uncoated tablet contains Everolimus 0.25 mg Storage: Store at a temperature not more than $ 25^{\circ} $C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. TM = Trade Mark Under Registration Mfg. Lic. No.: MB/05/203 For further information: Please call our 24*7 Helpline Number for Organ Transplant Patients 011-41169080 Manufactured & Marketed by: Panacea Biotec Pharma Ltd. Wholly-owned Subsidiary of Panacea Biotec Ltd. Malpur, Baddi, Distt. Solan (H.P.) & 173 205, India As Everolimus Tablets 0.25 mo",Yes,0.6,1.797,"Mio Lic No. MB/05/203
# Everolimus Tablets 0.25 mg
Ever Graf 0.25
Each uncoated tablet confains:
Everolimus
025 mg
Dosage: As directed by the Physician:
Storage: Store at a temperature not more
than 25°C. Protect from light and moisture.
KEEP THE MEDICINE OUT OF REACH
OF CHILDREN:
TM = Trade Mark Under Registration
Mfg. Lic. No.:M8/05/203
Re
for Organ Transplant Patients
011-41169080
Manufactured & Marketed by
Wholly-owned Subsidiary of Panacea Biotec Ltd.
Mafpur Baddi Osit Sotan LP):173 205 India:
Ever Graf 0.25
AS",Yes,9.517,paddleocr+gemini,0.74,Yes,"Each uncoated tablet contains Everolimus 0.25 mg Storage: Store at a temperature not more than $ 25^{\circ} $C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. TM = Trade Mark Under Registration Mfg. Lic. No.: MB/05/203 For further information: Please call our 24*7 Helpline Number for Organ Transplant Patients 011-41169080 Manufactured & Marketed by: Panacea Biotec Pharma Ltd. Wholly-owned Subsidiary of Panacea Biotec Ltd. Malpur, Baddi, Distt. Solan (H.P.) & 173 205, India As Everolimus Tablets 0.25 mo",EverGraf,25mg,everolimus 0.25 mg,Tablet,,,Store at a temperature not more than 25°C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. Not to be sold by retail without the prescription of a Registered Medical Practitioner.
