category,drug_group,pair,data_source,duckdb_rows_found,severity_mild,severity_moderate,severity_severe,short_answer,long_answer,confidence,gemini_time_s,total_time_s
BLEEDING_RISK,warfarin + aspirin,warfarin + aspirin,duckdb_fallback,4090,1549,1174,1367,"Combining warfarin and aspirin is associated with a mild interaction risk according to current reporting data. While this combination is generally considered mild, you should be aware that there is a documented potential for interaction, even though it is reported very infrequently.","The retrieved evidence classifies the drug-drug interaction between warfarin and aspirin as ""mild."" Analysis of the reporting data indicates a weak statistical signal, with Proportional Reporting Ratios (PRR) ranging from 1.05 to 1.25 (with one outlier at 0.43) and very low reporting frequencies between 0.000084 and 0.001340. 

This interaction is considered risky because it involves the co-administration of a vitamin K antagonist (anticoagulant) and a salicylate (antiplatelet), which typically increases the risk of hemorrhagic events. However, based strictly on the provided evidence, the clinical significance is categorized as mild and the evidence is limited by the very low reporting frequency in the knowledge base. The PRR values close to 1.0 suggest the interaction is not heavily over-reported compared to other drug combinations in the database.",medium,9.082,9.931
BLEEDING_RISK,warfarin + ibuprofen,warfarin + ibuprofen,duckdb_fallback,1607,342,457,808,"Combining warfarin and ibuprofen is associated with a mild risk of interaction that may affect how your blood clots. Because of this potential risk, you should consult your healthcare provider before taking these medications together.","The evidence retrieved indicates a mild interaction between warfarin and ibuprofen. Pharmacovigilance data shows Proportional Reporting Ratios (PRR) ranging from 1.11 to 1.67, suggesting a statistical signal for adverse events when these drugs are co-administered compared to other drug combinations. However, the evidence for this interaction is limited by very low reporting frequencies, which range from approximately 0.00086 to 0.00259. While the severity is consistently classified as mild across the provided reports, the PRR values above 1.0 indicate a detectable risk that warrants clinical caution, though the low frequency suggests the interaction is not widely reported in this specific dataset.",medium,5.86,6.017
BLEEDING_RISK,warfarin + naproxen,warfarin + naproxen,duckdb_fallback,1136,209,329,598,"Taking warfarin and naproxen together may increase the risk of mild side effects according to reported data. You should consult your healthcare provider before combining these medications, as they may affect your blood's ability to clot.","Analysis of pharmacovigilance data indicates a mild interaction between warfarin and naproxen. The evidence shows Proportional Reporting Ratios (PRR) ranging from 1.11 to 1.82 across multiple data points, which signifies a statistical signal that adverse events are reported more frequently for this combination than would be expected by chance. However, the overall reporting frequency is very low, ranging from 0.0015% to 0.0105%. The evidence for this interaction is limited to these statistical reporting signals and does not provide specific clinical mechanisms. While the severity is consistently classified as ""mild,"" the elevated PRR suggests a potential risk that warrants clinical monitoring when these agents are co-administered.",medium,6.63,6.774
BLEEDING_RISK,warfarin + fluconazole,warfarin + fluconazole,duckdb_fallback,1540,210,375,955,"Taking warfarin and fluconazole together is associated with a mild risk of interaction, though official reports of these events are very rare. You should be monitored by your healthcare provider to ensure your medications remain safe and effective.","The interaction between warfarin and fluconazole is categorized as ""mild"" based on available pharmacovigilance data. Evidence retrieved shows Proportional Reporting Ratios (PRR) ranging from 0.83 to 1.82; while some values suggest a potential signal for an interaction (PRR > 1), the reporting frequency is notably low, ranging from 0.001167 to 0.002334. This indicates that while an interaction is possible, documented cases in the reporting database are infrequent. Because the evidence is limited to spontaneous reporting metrics and consistently lists the severity as mild, the clinical risk appears low, though the variability in PRR values suggests that the interaction may not be uniformly observed across all patient cases.",medium,6.695,6.866
BLEEDING_RISK,warfarin + metronidazole,warfarin + metronidazole,duckdb_fallback,1283,161,291,831,Taking warfarin and metronidazole together may lead to a mild interaction. You should be aware of this potential combination and consult your healthcare provider for monitoring.,"Evidence retrieved from adverse event reporting databases indicates a documented interaction between warfarin and metronidazole, consistently classified as mild in severity. The data shows a statistical signal with Proportional Reporting Ratios (PRR) ranging from 1.00 up to 1.82, suggesting that these events are reported more frequently than would be expected by chance. However, the overall reporting frequency remains low, ranging from approximately 0.16% to 2.5%. While the provided evidence identifies the risk level and the presence of a reporting signal, it is limited as it does not specify the clinical mechanism or the exact nature of the adverse events. Healthcare professionals should note the statistical association and monitor patients accordingly, despite the mild severity classification.",medium,6.507,6.655
BLEEDING_RISK,dabigatran + aspirin,dabigatran + aspirin,duckdb_fallback,208,70,44,94,"Combining dabigatran and aspirin may slightly increase your risk of bleeding, though this interaction is classified as mild. You should consult your healthcare provider before taking these medications together to ensure they are safe for your specific condition.","Based on the retrieved pharmacovigilance data, the interaction between dabigatran and aspirin is categorized as mild. The evidence shows Proportional Reporting Ratios (PRRs) ranging from 0.83 to 1.43, with reporting frequencies between 0.0054 and 0.0324. A PRR above 1.0 (specifically the reported 1.15 to 1.43) indicates a statistical signal suggesting that adverse events are reported more frequently with this combination than with other medications in the database. 

The evidence provided is limited to statistical reporting metrics and does not specify clinical trial outcomes or detailed pharmacokinetic mechanisms. However, the combination of a direct thrombin inhibitor (dabigatran) and an antiplatelet agent (aspirin) generally increases the risk of hemorrhagic complications. Because the evidence is primarily derived from reporting frequencies and PRRs, it should be considered limited in scope, and clinical monitoring for signs of bleeding is advised when these agents are co-administered.",medium,5.645,5.792
BLEEDING_RISK,rivaroxaban + naproxen,rivaroxaban + naproxen,duckdb_fallback,151,35,40,76,"Combining rivaroxaban and naproxen may slightly increase the risk of side effects, though current medical evidence classifies this interaction as mild.","Evidence from pharmacovigilance reporting indicates a mild interaction between rivaroxaban and naproxen. The provided data shows Proportional Reporting Ratios (PRRs) ranging from 0.77 to 1.43, with relatively low reporting frequencies (approximately 0.008 to 0.024). While these statistics suggest a modest association with adverse events, the evidence is limited to reporting database metrics and lacks specific clinical outcomes or mechanistic details. Generally, the combination of an anticoagulant (rivaroxaban) and a nonsteroidal anti-inflammatory drug (naproxen) is monitored due to potential additive effects on bleeding, but based strictly on this dataset, the interaction is documented as low-severity with limited reporting frequency.",medium,6.107,6.257
BLEEDING_RISK,apixaban + clopidogrel,apixaban + clopidogrel,duckdb_fallback,157,57,33,67,"Combining apixaban and clopidogrel is associated with a mild risk of interaction according to available data. Because both medications affect how your blood clots, using them together may increase the chance of side effects, though current evidence suggests these reports are relatively infrequent.","The retrieved evidence from the medical knowledge base identifies a pharmacodynamic interaction between apixaban (a Factor Xa inhibitor) and clopidogrel (a P2Y12 antiplatelet agent), consistently categorized as ""mild"" in severity across multiple reports. 

The evidence is primarily statistical, showing low reporting frequencies (ranging from approximately 0.0059 to 0.0176). The Proportional Reporting Ratios (PRR) are variable, with most values below 1.0 (0.54 to 0.67) and one value at 1.67. A PRR above 1.0 may suggest a potential safety signal, but the lack of consistency and the overall low reporting frequency indicate that while an interaction is documented, the evidence for a high-magnitude risk in this specific dataset is limited. 

The interaction is considered risky because both agents inhibit different pathways of the coagulation cascade; their combined use typically results in an additive effect on bleeding risk. However, based strictly on the provided data, the clinical impact is labeled as mild. Clinical monitoring for signs of hemorrhage is standard when these classes are used in combination.",medium,8.054,8.191
BLEEDING_RISK,clopidogrel + omeprazole,clopidogrel + omeprazole,duckdb_fallback,2686,995,859,832,"There is evidence of a mild interaction between clopidogrel and omeprazole, though the available data is inconsistent. This combination may slightly alter the effectiveness of your treatment, so you should consult with your healthcare provider for further guidance.","The retrieved evidence identifies the interaction between clopidogrel and omeprazole as ""mild"" in severity across all reported instances. However, the evidence is limited and shows significant inconsistency in signal strength. Proportional Reporting Ratios (PRR) range from a low of 0.40 to a high of 1.81, with reporting frequencies remaining very low (between 0.000203 and 0.006507). 

In pharmacological surveillance, a PRR above 1.0 suggests a potential association between a drug combination and adverse events, while a PRR below 1.0 suggests no such association. Because the provided data contains values both above and below this threshold, the clinical evidence for this specific interaction is considered weak and conflicting. Clinicians should be aware that while the interaction is classified as mild, the variability in the reporting data suggests that its clinical impact may not be uniformly observed.",medium,6.15,6.288
BLEEDING_RISK,heparin + ketorolac,heparin + ketorolac,duckdb_fallback,476,70,125,281,"Combining heparin and ketorolac may result in a mild increase in the risk of side effects, though clinical reports of this interaction are relatively infrequent.","Analysis of pharmacovigilance data indicates a mild interaction between heparin and ketorolac. The evidence shows Proportional Reporting Ratios (PRR) ranging from 1.11 to 1.82, which suggests a statistical signal for adverse event reports associated with this drug pair compared to other medications in the database. However, the reporting frequency is notably low, ranging from approximately 0.006 to 0.048. All retrieved data points categorize the severity of this interaction as mild. While the PRR values indicate a potential risk, the evidence is considered limited due to the low reporting frequency and the nature of the data, which identifies statistical associations rather than definitive clinical outcomes. The risk is likely manageable, but the statistical signal warrants clinical awareness.",medium,6.38,6.516
