file,status,confidence,elapsed,chars,words,lines,chars_per_sec,quality,preview
21atpU0Hc9L._AC_UY218_.jpg,PASS,0.65,12.086,112,18,1,9.3,clean,Vildagliptin 50 mg & Metformin Hydrochloride 500 mg Tablets GLIPY MET 500 ལིང་ཀ་ཐོང་ཏུ་ཁ Alembic 10 x 10 tablets
41jH9Wz2A6L._AC_UY218_.jpg,PASS,0.61,5.325,0,0,0,0.0,HTML/garbage,
51-kyOzqrBL._AC_UY218_.jpg,PASS,0.64,7.293,39,5,1,5.3,HTML/garbage,## Multi-enzyme Tablets Aristozyme Gold
51drO9yNxOL._AC_UY218_.jpg,PASS,0.62,4.993,64,8,1,12.8,HTML/garbage,Natural Micronized Progesterone Sustained Release Tablets 300 mg
51Vky80e5TL._AC_UY218_.jpg,PASS,0.66,8.406,147,22,1,17.5,HTML/garbage,# Rx SITAGLIPTIN PHOSPHATE & METFORMIN HYDROCHLORIDE TABLETS istamet $ ^{TM} $ 50mg/1000mg (Film-costed Tablets) Far Oral Use Only. 15 tablets each
615ql59bqLL._AC_PT0_BL0_SX320_SY720_.jpg,PASS,0.66,13.142,0,0,0,0.0,HTML/garbage,
618M7GJZDuL._AC_UY218_.jpg,PASS,0.61,5.578,0,0,0,0.0,HTML/garbage,
61FLd7WVkdL._AC_UY218_.jpg,PASS,0.61,6.259,0,0,0,0.0,HTML/garbage,
61FYV+hiNzL._AC_UY218_.jpg,PASS,0.63,5.018,35,6,1,7.0,HTML/garbage,TATA விவரி Antacid & Antigas Liquid
61KNeYtvwML._AC_UY218_.jpg,PASS,0.74,10.787,537,83,1,49.8,HTML/garbage,"Each uncoated tablet contains Everolimus 0.25 mg Storage: Store at a temperature not more than $ 25^{\circ} $C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN. TM = Trade Mark Under Registration Mfg. Lic. No.: MB/05/203 For further information: Please call our 24*7 Helpline Number for Organ Transplant Patients 011-41169080 Manufactured & Marketed by: Panacea Biotec Pharma Ltd. Wholly-owned Subsidiary of Panacea Biotec Ltd. Malpur, Baddi, Distt. Solan (H.P.) & 173 205…"
61MBCfCe2fL._AC_UY218_.jpg,PASS,0.64,11.122,136,15,1,12.2,clean,"Girnepinide, Pioglitrazone Hydrochloride & Meffonmin Hydrochloride Extended Release Tablets ## OZOMET $ ^{\circledR} $-PG2 ཨོཾ་ཨིཙྪ་ཨི་ཊ"
61mS7nYrnCL._AC_UY218_.jpg,PASS,0.61,4.176,14,2,1,3.4,clean,(Empty result)
61qOGb2N3JL._AC_UY218_.jpg,PASS,0.62,3.936,33,6,1,8.4,clean,TATA 1mg Antacid & Antigas Liquid
61U833aF5sL._AC_UY218_.jpg,PASS,0.61,5.961,0,0,0,0.0,HTML/garbage,
713mB7d81iL._AC_UY218_.jpg,PASS,0.62,6.415,0,0,0,0.0,HTML/garbage,
71g-EpxGstL._AC_UY218_.jpg,PASS,0.76,14.284,458,63,1,32.1,HTML/garbage,"# *Progesterone Sustained Release Tablets dicalural Micronized) Dosage: As directed by the Physician. Susten 400 Susten 400 M.L. 27/UNSC/P-2016 Manufactured as inks by: Synokem Pharmaceuticals Ltd. Pilot No. 56-57, Sector - 6A, 11.E, SIDCUL, Ranipur (BHEL), Haridwar - 249103, Uttarakhand, Susten Markted by: Sun pharma laboratories Ltd. Acme Plaza, Andhen-Kuria Road, Andheri (E), Mumbai-400 059 Susten 400 Susten 400 *Progesterone Sustained Release Tablets"
71ISfgKFsHL._AC_UY218_.jpg,PASS,0.61,7.11,0,0,0,0.0,HTML/garbage,
71kesLt00uL._AC_UY218_.jpg,PASS,0.62,6.301,0,0,0,0.0,HTML/garbage,
