file,status,confidence,elapsed,original_kb,compressed_kb,chars,words,lines,chars_per_sec,preview
21atpU0Hc9L._AC_UY218_.jpg,PASS,0.6,1.11,12.8,12.8,95,17,5,85.6,Vildagliptin 50 mg & Metformin Hydrochloride 500 mg Tablets GLIPY MET 500 Alombics 10 × 30 1N-8
41jH9Wz2A6L._AC_UY218_.jpg,PASS,0.6,1.13,11.9,11.9,21,3,3,18.6,BACFOLO ACIBAC ACIBAC
51-kyOzqrBL._AC_UY218_.jpg,PASS,0.6,1.258,14.6,14.6,47,6,5,37.4,Multi-enzyme Tablets Aristozyme Gold 10 TABLETS
51drO9yNxOL._AC_UY218_.jpg,PASS,0.6,1.323,14.8,14.8,76,10,3,57.4,Natural Micronized Progesterone Sustained Release Tablets 300 mg SUGEST *300
51Vky80e5TL._AC_UY218_.jpg,PASS,0.6,1.247,9.3,9.3,109,15,8,87.4,Rx SITAGLIPTIN PHOSPHATE & METFORMIN HYDROCHLORIDE TABLETS istamet™ 50mg/1000mg For Oral Use Only. SUN PHARMA
615ql59bqLL._AC_PT0_BL0_SX320_SY720_.jpg,PASS,0.6,1.629,20.8,20.8,111,22,14,68.1,"LUEOS"" GEO.E krali Amal KUDOS* Ga OL fonds Boed KUOOS"" BURCE* e Oua Gos Ores Gos Oua swid toe Seian Goril KuOỚS"
618M7GJZDuL._AC_UY218_.jpg,PASS,0.6,1.268,16.6,16.6,126,21,12,99.4,Glimda:1 Glimda-1 Glimepiride Tables IP Ing Glimda 1 Glimda-s Glinada 1 Glinda 1 Gtimda-l Glimda 1 Glimda -1 Glimda-1 Glimda t
61FLd7WVkdL._AC_UY218_.jpg,PASS,0.6,1.133,5.6,5.6,36,6,4,31.8,ANTADIO ANTIGAS GEL DIGENE Po. 450ml
61FYV+hiNzL._AC_UY218_.jpg,PASS,0.6,1.149,4.9,4.9,32,6,3,27.8,TATA TN Antacid & Antigas Liquid
61KNeYtvwML._AC_UY218_.jpg,PASS,0.6,1.244,39.5,39.5,550,88,22,442.0,Mio LiC No. MB/05/203 Марос волот ost So60 (H.P) * Everolimus Tablets 0.25 mg Ever Graf 0.25 Each uncoated tablet contains: Everolimus 025 mg Dosage: As directed by the Physician: Storage: Store at a temperature not more than 25°C. Protect from light and moisture. KEEP THE MEDICINE OUT OF REACH OF CHILDREN: TM = Trade Mark Under Registration Mfg. Lic. No.:M8/05/203 for Organ Transplant Patients 011-41169080 Manufactured & Marketed by Wholly-owned Subsidiary of Panacea Biotec Ltd. Matpur Baddi Di…
61MBCfCe2fL._AC_UY218_.jpg,PASS,0.6,1.59,14.2,14.2,105,13,5,66.0,"Gimpride, Pagitazone Hydrochloride & Meformin Hydrochloride Extended Release Tablets OZOMET PG2 PG2 OZONE"
61mS7nYrnCL._AC_UY218_.jpg,PASS,0.6,1.089,5.3,5.3,6,1,1,5.5,DIGENE
61qOGb2N3JL._AC_UY218_.jpg,PASS,0.6,1.105,5.1,5.1,33,6,3,29.9,TATA 1mg Antacid & Antigas Liquid
61U833aF5sL._AC_UY218_.jpg,PASS,0.6,1.423,9.7,9.7,107,18,8,75.2,"Baidyanath 38 years of cares Suwamamalini Vasant Ras Briat, • Aheative & took Housty. Serges n netide sente"
713mB7d81iL._AC_UY218_.jpg,PASS,0.6,0.958,18.9,18.9,47,7,3,49.1,ogesterone Sustaine Macgest su 30p ease Tablets
71g-EpxGstL._AC_UY218_.jpg,PASS,0.6,1.276,37.8,37.8,582,92,28,456.1,"cRap, As directed sy Susten ex Susten e Antake Mumbai 400.059: Susten 63-0 Susten wo Sustangoe * Progesterone Sustained Release Tablets Susten Tablet should Se swallowed whole 400 and not to be chewed or crushed. 25°C. protected tom Fight and r (atural Micronized) Colour: Titanium Dioxide IP Manufactured era br Piot No. 56-57 Sector - 6A Motted by. Sun pharma laboratories ltd. Rome Plaza, Andhieri-Kurta Rced Dosage: As directed by the Physician. Susten CO«c Susten Go Susten e Antheri(E), Mumbai-…"
71ISfgKFsHL._AC_UY218_.jpg,PASS,0.6,1.105,11.1,11.1,28,4,3,25.3,Digeplex Digeplex honda bone
71kesLt00uL._AC_UY218_.jpg,PASS,0.6,0.966,20.9,20.9,0,0,0,0.0,
71NtgUEsbzL._AC_UY218_.jpg,PASS,0.6,1.655,26.3,26.3,91,12,3,55.0,Simethicone & Activated Charcoal Tablets * GASVENZ Simetnicone & Activated Charcoal Tablets
71PlxoKxYrL._AC_UY218_.jpg,PASS,0.6,1.245,14.4,14.4,19,2,2,15.3,Digeplex: Digeplex:
71rjGKOUFtL._AC_UY218_.jpg,PASS,0.6,1.265,23.3,23.3,113,24,11,89.4,DIGENE ON THE GO • Antacid • Antigas ACTS IN SECONDS* 2 SECONDS JUST TEAR & SIP MINT FLAVOUR 5SHOTS of 10 ml each
71SA38XB6tL._AC_UY218_.jpg,PASS,0.6,1.137,13.3,13.3,33,7,5,29.0,ORANGE GAS O FAST plus Sugar Free
71vqkjcWRgL._AC_UY218_.jpg,PASS,0.6,1.134,7.9,7.9,0,0,0,0.0,
71YAo8VdiSL._AC_UY218_.jpg,PASS,0.6,1.156,7.7,7.7,21,4,1,18.2,SEPHLY PHATE & METONS
81D5eYUTZNL._AC_UY218_.jpg,PASS,0.6,0.833,10.9,10.9,0,0,0,0.0,
81EfYVqCGPL._AC_UY218_.jpg,PASS,0.6,1.3,26.2,26.2,113,14,6,86.9,METFORMIN HYOROCHLORIDE SUSTAINED RELEASE TABLETS USD METFORMIN HYOROCHLORIDE SUSTAINED RELEASE TABLETS IP 500 MG
81l7xVkxZRL._AC_UY218_.jpg,PASS,0.6,0.809,7.0,7.0,42,7,4,51.9,Himalaya SINCE 1930 Diabecon DS TABLETS CO
